Metabolite ID,Name,Formula/Composition,Compartment,PubChem ID,Canonical SMILES
C00522,(R)-Pantoate,C6H12O4,Cytosol,3805,CCC(=O)OC1C=CC=CCC(OC(=O)CC(C(C(C(CC1C)CC=O)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)OC(=O)CC(C)C)(C)O)N(C)C)O)OC)OC(=O)C)C
C00099,beta-Alanine,C3H7NO2,Cytosol,3399,CCC(=O)OC1(C(CC2C1(CC(C3(C2CC(C4=CC(=O)C=CC43C)F)F)O)C)C)C(=O)SCF
C00864,Pantothenate,C9H17NO5,Cytosol,4121,CN1C(NC2=CC(=C(C=C2S1(=O)=O)S(=O)(=O)N)Cl)CCl
C00831,Pantetheine,C11H22N2O4S,Cytosol,4089,CCCCCCC(=O)OC1CCC2C1(CCC3C2CCC4C3(C(=CC(=O)C4)C)C)C
C01134,Pantetheine 4'-phosphate,C11H23N2O7PS,Cytosol,4365,CSCCC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC=O
C03492,D-4'-Phosphopantothenate,C9H18NO8P,Cytosol,6304,
C04079,N-((R)-Pantothenoyl)-L-cysteine,C12H22N2O6S,Cytosol,6773,CC1=CC2=C(C=C1)C(=O)C3=CC=CC=C3C2=O
C04352,(R)-4'-Phosphopantothenoyl-L-cysteine,C12H23N2O9PS,Cytosol,7001,C1=CC=C2C(=C1)C=CC=C2Br
C11434,2-C-Methyl-D-erythritol 4-phosphate,C5H13O7P,Cytosol,13606,[C-]#[N+]C1=CC=CC=C1
C00063,CTP,C9H16N3O14P3,Cytosol,3363,C1C(C(OC1N2C=C(C(=O)NC2=O)F)CO)O
C11435,4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol,C14H25N3O14P2,Cytosol,13607,COC1CCCCC1
C11436,2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol,C14H26N3O17P3,Cytosol,13608,
C11453,"2-C-Methyl-D-erythritol 2,4-cyclodiphosphate",C5H12O9P2,Cytosol,13625,C1=CC=C2C(=C1)NC(=O)S2
C00055,CMP,C9H14N3O8P,Cytosol,3357,
C03283,"L-2,4-Diaminobutanoate",C4H10N2O2,Cytosol,6142,
C00461,Chitin,(C8H13NO5)n,Cytosol,3745,CC(C)OC1=CC2=C(C=C1)C(=O)C=C(O2)C3=CC=CC=C3
C00668,alpha-D-Glucose 6-phosphate,C6H13O9P,Cytosol,3937,C1CC(N(C1)C(=O)C(CCCCN)NC(CCC2=CC=CC=C2)C(=O)O)C(=O)O
C00015,UDP,C9H14N2O12P2,Cytosol,3317,CCCCC=CC=CCC(=O)OC12CC(C3(C(C1C2(C)C)C=C(CC4(C3C=C(C4=O)C)O)CO)O)C
C00689,"alpha,alpha'-Trehalose 6-phosphate",C12H23O14P,Cytosol,3958,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl
C00498,ADP-glucose,C16H25N5O15P2,Cytosol,3781,CC(CN1C2=CC=CC=C2SC3=C1N=CC=C3)N(C)C
C00092,D-Glucose 6-phosphate,C6H13O9P,Cytosol,3392,CC1(OC2CC3C4CC(C5=CC(=O)CCC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C
C01083,"alpha,alpha-Trehalose",C12H22O11,Cytosol,4320,CC1CCC(C1NC(=O)C(CC2=CC=CC=C2)CC(CN3CCN(CC3C(=O)NC(C)(C)C)C(=O)C4=CN=C(C(=N4)Cl)N5CCN(CC5)C)O)O
